Company,Sub_segment,HQ_Region,CDP Score,CDP_Score_Numeric,SBTi_Near_Term_Status,SBTi_Near_Term_Numeric,SBTi_Net_Zero_Status,Has_Net_Zero_Target,SBTi_Net_Zero_Year,SBTi_Near_Term_Target_Year,Remake_2021_Score_out_of_150,Overall_Disclosure_Score_pct,Carbon_Emissions_Score_pct,Energy_Renewables_Score_pct,Supply_Chain_Score_pct,Social_Workers_Score_pct,Governance_Strategy_Score_pct,Materials_Products_Score_pct,Commitment on State-Imposed Forced Labour in Supply Chain (Renewable Energy),Commitment to Degrowth,Decarbonisation Commitment,Decarbonisation Progress,Discloses 24/7 Hourly Matching of Electricity Consumption (Supply Chain),Discloses Affected Stakeholder Engagement on Climate Strategy,Discloses Annual Renewable Energy Investment,Discloses Approach to Living Wage,Discloses Carbon Emissions,Discloses Carbon Pricing,Discloses Climate-Related Risk Process,"Discloses Commitment to Freedom of Association, Right to Organize and Collective Bargaining in the Supply Chain","Discloses Content of Scope 1, 2 and 3 Emissions",Discloses Details on Climate-Related Risks,Discloses Efforts to Compensate Workers Impacted by Climate Crisis,Discloses Efforts to Upskill Supply Chain Workers,Discloses Energy Efficiency Investments (Supply Chain),Discloses Evidence of Renewable Energy Advocacy (Supply Chain),Discloses Living Wage Estimates Used for Benchmarking,Discloses Outcome of Renewable Energy Advocacy (Supply Chain),Discloses Percentage of Workers Paid By Piece Rate,Discloses Percentage of Workers Receiving Wage Payments Digitally,Discloses Progress on Electrify Manufacturing Processes Target,Discloses Progress on Fossil Fuel Phase-Out Target,Discloses Progress on Renewable Energy Target (Supply Chain),Discloses Progress on Sustainable Materials Strategy,Discloses Progress toward the payment of a Living Wage to workers in the supply chain,Discloses Proportion of Workers Paid Minimum Wage,Discloses Quantity of Products Produced,Discloses Scale of Renewable Energy Support,Discloses Sourced Fibre Breakdown,Discloses Strategy to Achieving Living Wage,Discloses Supplier Engagement in Climate Adaptation Strategy,Discloses Supplier Engagement on Climate Target Setting,Discloses Support for Renewable Electricity,Discloses address of manufacturing facilities,Discloses address of processing facilities,Discloses address of raw material facilities,Discloses manufacturing facilities (specific location),Discloses name of parent company for each manufacturing facility,Discloses name of parent company for each processing facility,Discloses name of parent company of each raw material facility,Discloses number or % of Workers covered by Collective Bargaining Agreements,"Discloses number or % of supplier facilities that have independent, democratically elected trade unions",Discloses processing facilities (specific location),Discloses raw material facilities,"Discloses the specific raw material fiber, products or services (raw material facilities)",Discloses type of products or services (manufacturing facilities),Discloses type of products or services (processing facilities),Electricity Consumption Breakdown (Supply Chain),Electricity Consumption Matched to Renewable Energy Generation (Supply Chain),Electrify Manufacturing Processes Target,Energy Consumption Breakdown (Own Operations),Energy Consumption Breakdown (Supply Chain),Energy Consumption Breakdown by Country (Supply Chain),Energy Consumption Breakdown by Process (Supply Chain),Energy Procurement Type Breakdown (Own Operations),Energy Procurement Type Breakdown (Supply Chain),Executive Pay Linked to Carbon Reduction,Fossil Fuel Phase-Out Target,Just Transition Commitment,List of Manufacturing facilities contributed to Open Supply Hub,List of Processing facilities contributed to Open Supply Hub,List of raw material facilities contributed to Open Supply Hub,Percentage of Executive Pay Linked to Carbon Reduction,Publicly available list of manufacturing facilities in open data format,Publicly available list of processing facilities in open data format,Publicly available list of raw material facilities in open data format,Publishes Percentage of Workers Paid Above Minimum Wage,Publishes Percentage or Number of Workers Earning a Living Wage,RE100 Commitment,Renewable Electricity Target (Supply Chain),Renewable Energy Definition,Renewable Energy Target (Supply Chain),Reports on Minimum Wage Paid for Daily / Piece Rate Workers,Science Based Targets,Scope 3 Emissions Breakdown,Supplier Incentives to Improve Environmental Impacts,Sustainable Materials Strategy,Perf_Scope1_2_Emissions_tCO2e,Perf_Scope3_Emissions_tCO2e,Perf_Baseline_Year,Perf_Baseline_Emissions_tCO2e,Perf_Carbon_Reduction_Target_pct,Perf_Carbon_Target_Year,Perf_NetZero_Target_Year,Perf_Renewable_Energy_pct,Perf_Recycled_Materials_pct,Perf_Revenue_USD_M,Perf_Employees,Perf_Source_Report,CDP_Score_Encoded,Cluster,Overall_Disclosure_Score_pct_temp,Cluster_Label,Cluster_Rank,PCA1,PCA2,Greenwashing_Category,Cluster_Rank_Final
Canada Goose,Other Retail,North America,A-,6.0,Targets set,3,Targets set,1,FY2050,FY2030,,10.3,9.1,17.4,5.4,6.7,0.0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,6.0,1,10.3,Cluster 2 — Developing,1,-0.7223486531082532,1.4753785653541238,Underreporters,2
Anta Sports Products,Other Retail,Asia,A,7.0,Targets set,3,,0,,2030,,9.0,9.1,8.7,5.4,6.7,33.3,25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,7.0,1,9.0,Cluster 2 — Developing,1,-0.8494957776392855,0.40279453859908115,Underreporters,2
Costco Wholesale,Value/Dept,North America,C,3.0,Not Found,0,,0,,,,9.0,18.2,8.7,2.7,6.7,50.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,3.0,1,9.0,Cluster 2 — Developing,1,-1.1999537990654177,0.157346842722368,Genuine Laggards,2
Foot Locker Inc.,Sports/Active,North America,Not Disclosed,,Commitment removed,1,Commitment removed,0,,,,7.7,18.2,8.7,2.7,6.7,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,7.7,Cluster 2 — Developing,1,-1.809721760624399,-0.3393362430427197,Genuine Laggards,2
Burlington Stores Inc,Value/Dept,North America,B,5.0,Not Found,0,,0,,,,7.7,9.1,8.7,2.7,6.7,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,5.0,1,7.7,Cluster 2 — Developing,1,-1.4047452936073774,0.12850405945316318,Underreporters,2
Gerry Weber,Mid-Market,Europe,Not Disclosed,,Not Found,0,,0,,,,7.7,9.1,0.0,2.7,20.0,0.0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,0.0,1,7.7,Cluster 2 — Developing,1,-1.8225314095097516,-0.656812805754947,Genuine Laggards,2
Sports Direct,Other Retail,Europe,Not Disclosed,,Not Found,0,,0,,,,5.1,9.1,0.0,2.7,0.0,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,5.1,Cluster 2 — Developing,1,-2.3847746672557895,-0.09147182405782385,Genuine Laggards,2
Urban Outfitters,Fast Fashion,North America,Not Disclosed,,Not Found,0,,0,,,3.0,5.1,9.1,0.0,2.7,6.7,0.0,50,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,,,,,,,,,,,0.0,1,5.1,Cluster 2 — Developing,1,-2.18455365773438,-0.35981443222097437,Genuine Laggards,2
Ross Stores,Value/Dept,North America,B,5.0,Not Found,0,,0,,,-13.0,5.1,9.1,4.3,0.0,0.0,33.3,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,5.0,1,5.1,Cluster 2 — Developing,1,-1.7487612028525645,0.4154054677725051,Underreporters,2
El Corte Ingles S.A.,Value/Dept,Europe,B,5.0,Not Found,0,,0,,,,5.1,9.1,4.3,2.7,6.7,16.7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"Owned and operated facilities, Supply chain, Raw material level (2021 only)",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,5.0,1,5.1,Cluster 2 — Developing,1,-1.7686585363817726,0.030817962087864827,Underreporters,2
Chico's FAS Inc,Mid-Market,North America,Not Disclosed,,Targets set,3,,0,,2030,,3.8,0.0,4.3,5.4,6.7,16.7,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,3.8,Cluster 2 — Developing,1,-2.4807496112991134,-0.6158757108725975,Genuine Laggards,2
TOD'S,Luxury,Europe,Not Disclosed,,Targets set,3,,0,,FY2031,,3.8,9.1,4.3,2.7,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,Owned and operated facilities,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,3.8,Cluster 2 — Developing,1,-2.612737165884604,-0.6774299560239514,Genuine Laggards,2
Brunello Cucinelli,Luxury,Europe,B,5.0,Targets set,3,Targets set,1,2050,2028,,2.6,18.2,0.0,0.0,0.0,33.3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,,,,,,,,,,1,,,0,0,0,1,0,0,0,,,,,,,,,,0,,,,,,,,,,,,,,5.0,1,2.6,Cluster 2 — Developing,1,-1.391657576890544,2.1310711138602505,Underreporters,2
Express Inc,Mid-Market,North America,Not Disclosed,,Targets set,3,Targets set,1,2050,2033,,2.6,0.0,0.0,5.4,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,2.6,Cluster 2 — Developing,1,-2.562748147822901,0.8593823195992146,Genuine Laggards,2
Buckle Inc,Other Retail,North America,Not Disclosed,,Targets set,3,,0,,2030,,1.3,0.0,0.0,2.7,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,1.3,Cluster 2 — Developing,1,-2.898259961055693,-0.6597571316356954,Genuine Laggards,2
DSW Inc.,Other Retail,North America,Not Disclosed,,Not Found,0,,0,,,,1.3,0.0,0.0,2.7,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,1.3,Cluster 2 — Developing,1,-2.898259961055693,-0.6597571316356954,Genuine Laggards,2
"Dillard's, Inc.",Value/Dept,North America,Not Disclosed,,Not Found,0,,0,,,,1.3,0.0,0.0,2.7,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,1.3,Cluster 2 — Developing,1,-2.898259961055693,-0.6597571316356954,Genuine Laggards,2
Skechers USA Inc,Sports/Active,North America,D,1.0,Not Found,0,,0,,,,1.3,0.0,0.0,2.7,6.7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,1.0,1,1.3,Cluster 2 — Developing,1,-2.7811046270837685,-0.5539747154623311,Genuine Laggards,2
Semir,Other Retail,Asia,Not Disclosed,,Not Found,0,,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,,,0.0,1,0.0,Cluster 2 — Developing,1,-3.1351178688484747,-0.45343159590715754,Genuine Laggards,2
